CollectorsInfo	gametext
12C010	Randomly select a personnel to be stopped. If you still have <b>nine personnel</b> remaining, return that personnel to his or her owner's hand, then your opponent chooses a second personnel to return to his or her owner's hand. If you still have <b>ten personnel</b> remaining, your opponent chooses a third personnel to return to his or her owner's hand.
12C012	Unless you have <b>2 Biology and 2 Medical</b> or <b>Leadership, 2 Security and Strength>34</b>, randomly select two personnel to be stopped and place this dilemma in your core. At the start of each of your turns, discard the top card of your deck.
12C016	Randomly select three personnel. If the <b>total cost of those personnel is 4 or less</b>, they are stopped and this dilemma is placed in your core. Otherwise, randomly select one of those personnel to be stopped. When you play a non-unique personnel, he or she is cost +1.
12C018	Choose a personnel that <b>does not have an attributes>6</b> to be stopped. If you cannot, for each headquarters mission you command, randomly select a personnel to be killed.
13C001	Randomly select three personnel. If the <b>total cost of those personnel is 5 or less</b>, they are killed. Otherwise, randomly select one of those personnel to be stopped.
13C011	Unless you have <b>an [AU] personnel</b>, randomly select a personnel to be killed and your opponent may choose an event to destroy.
13C016	Randomly select three personnel. If the <b>total cost of those personnel is 5 or less</b>, they are killed. Otherwise, randomly select one of those personnel to be stopped.
13R004	Unless you have <b>a personnel with Integrity>6, a second personnel with Cunning>6, and a third personnel with Strength>6</b>, all your personnel are stopped.
13R020	Unless <b>your personnel have a total cost>17</b>, for each headquarters mission you command, randomly select a personnel to be killed and this dilemma returns to its owner's dilemma pile.
13U003	Randomly select three personnel. If the <b>total cost of those personnel is 4 or less</b>, they are placed in your opponent's brig. Otherwise, randomly select one of those personnel to be stopped.
13U012	Unless you have <b>Astrometrics, Diplomacy, and Officer</b> or <b>Leadership, Security, and Treachery</b>, randomly select a personnel to be stopped, and if the opponent on your left commands Mouth of the Wormhole, he or she scores 5 points.
13U013	Unless you have <b>Diplomacy, Leadership, and Navigation</b> or <b>a ship at a completed space mission</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Earth}, he or she may download two [SF] cards.
13U019	Unless you have <b>Anthropology, Leadership, and Science</b> or <b>Engineer, Transporters, and Cunning>28</b>, randomly select a personnel to be stopped, and if the opponent on your left does not command a headquarters mission, he or she may take a [Voy] personnel from his or her discard pile and place him or her aboard a ship at a [DQ] mission.
13U021	Unless you have <b>Honor, Officer, and Integrity>34</b>, or <b>Security, Treachery, and Strength>34</b>, randomly select a personnel to be stopped, and if the opponent on your left commands {Athos IV}, that personnel is returned to his or her owner's hand instead.
14C002	Unless you have <b>Astrometrics and Engineer</b> or <b>3 Navigation</b>, stop all of your personnel and this dilemma is placed on your ship. Damage - At the start of each of your turns, the owner of this dilemma may place this ship at your mission.
14R016	For each event your opponent commands in his or her core, this dilemma is cost -1 (-2 for each Decay event). Unless you have <b>2 Leadership, Officer, Security, and Cunning>38</b> or <b>2 Engineer, Programming, and 2 Science</b>, randomly select two personnel to be placed in your opponent's brig.
14R017	Your opponent names a skill. Randomly select a personnel with that skill. Unless <b>that personnel has an attribute>6</b>, randomly select a second personnel with that skill. Each selected personnel is killed and this dilemma returns to its owner's dilemma pile.
14U008	Choose a personnel who has <b>Anthropology</b> or <b>Medical</b> to be stopped. If you cannot, randomly select a personnel to be killed.
14U009	Choose a personnel who has <b>Medical</b> or <b>Science</b> to be stopped. If you cannot, randomly select a personnel to be killed.
